"","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15"
"1","BDS","SK","AST","FNC","G2","AST","BDS","G2","RGE","FNC"
"2","BDS","SK","AST","FNC","G2","AST","BDS","G2","RGE","MSF"
"3","BDS","SK","AST","FNC","G2","AST","BDS","G2","VIT","FNC"
"4","BDS","SK","AST","FNC","G2","AST","BDS","G2","VIT","MSF"
"5","BDS","SK","AST","FNC","G2","AST","BDS","SK","RGE","FNC"
"6","BDS","SK","AST","FNC","G2","AST","BDS","SK","RGE","MSF"
"7","BDS","SK","AST","FNC","G2","AST","BDS","SK","VIT","FNC"
"8","BDS","SK","AST","FNC","G2","AST","BDS","SK","VIT","MSF"
"9","BDS","SK","AST","FNC","G2","AST","MAD","G2","RGE","FNC"
"10","BDS","SK","AST","FNC","G2","AST","MAD","G2","RGE","MSF"
"11","BDS","SK","AST","FNC","G2","AST","MAD","G2","VIT","FNC"
"12","BDS","SK","AST","FNC","G2","AST","MAD","G2","VIT","MSF"
"13","BDS","SK","AST","FNC","G2","AST","MAD","SK","RGE","FNC"
"14","BDS","SK","AST","FNC","G2","AST","MAD","SK","RGE","MSF"
"15","BDS","SK","AST","FNC","G2","AST","MAD","SK","VIT","FNC"
"16","BDS","SK","AST","FNC","G2","AST","MAD","SK","VIT","MSF"
"17","BDS","SK","AST","FNC","G2","XL","BDS","G2","RGE","FNC"
"18","BDS","SK","AST","FNC","G2","XL","BDS","G2","RGE","MSF"
"19","BDS","SK","AST","FNC","G2","XL","BDS","G2","VIT","FNC"
"20","BDS","SK","AST","FNC","G2","XL","BDS","G2","VIT","MSF"
"21","BDS","SK","AST","FNC","G2","XL","BDS","SK","RGE","FNC"
"22","BDS","SK","AST","FNC","G2","XL","BDS","SK","RGE","MSF"
"23","BDS","SK","AST","FNC","G2","XL","BDS","SK","VIT","FNC"
"24","BDS","SK","AST","FNC","G2","XL","BDS","SK","VIT","MSF"
"25","BDS","SK","AST","FNC","G2","XL","MAD","G2","RGE","FNC"
"26","BDS","SK","AST","FNC","G2","XL","MAD","G2","RGE","MSF"
"27","BDS","SK","AST","FNC","G2","XL","MAD","G2","VIT","FNC"
"28","BDS","SK","AST","FNC","G2","XL","MAD","G2","VIT","MSF"
"29","BDS","SK","AST","FNC","G2","XL","MAD","SK","RGE","FNC"
"30","BDS","SK","AST","FNC","G2","XL","MAD","SK","RGE","MSF"
"31","BDS","SK","AST","FNC","G2","XL","MAD","SK","VIT","FNC"
"32","BDS","SK","AST","FNC","G2","XL","MAD","SK","VIT","MSF"
"33","BDS","SK","AST","FNC","MSF","AST","BDS","G2","RGE","FNC"
"34","BDS","SK","AST","FNC","MSF","AST","BDS","G2","RGE","MSF"
"35","BDS","SK","AST","FNC","MSF","AST","BDS","G2","VIT","FNC"
"36","BDS","SK","AST","FNC","MSF","AST","BDS","G2","VIT","MSF"
"37","BDS","SK","AST","FNC","MSF","AST","BDS","SK","RGE","FNC"
