"","AST","BDS","FNC","G2","MAD","MSF","RGE","SK","VIT","XL"
"1"," 6","10"," 5"," 1"," 4"," 3"," 2"," 8"," 7"," 9"
"2"," 7","10"," 5"," 1"," 4"," 2"," 3"," 8"," 6"," 9"
"3"," 7","10"," 6"," 1"," 5"," 3"," 2"," 8"," 3"," 9"
"4"," 7","10"," 6"," 1"," 4"," 2"," 3"," 8"," 5"," 9"
"5"," 7","10"," 5"," 1"," 4"," 3"," 2"," 6"," 8"," 9"
"6"," 8","10"," 5"," 1"," 4"," 2"," 3"," 7"," 6"," 9"
"7"," 8","10"," 6"," 1"," 5"," 3"," 2"," 7"," 3"," 9"
"8"," 8","10"," 6"," 1"," 4"," 2"," 3"," 7"," 5"," 9"
"9"," 6","10"," 4"," 1"," 3"," 4"," 2"," 8"," 7"," 9"
"10"," 7","10"," 5"," 1"," 4"," 2"," 3"," 8"," 6"," 9"
"11"," 7","10"," 4"," 1"," 2"," 6"," 5"," 8"," 3"," 9"
"12"," 7","10"," 6"," 1"," 3"," 2"," 5"," 8"," 4"," 9"
"13"," 7","10"," 4"," 1"," 3"," 4"," 2"," 6"," 8"," 9"
"14"," 8","10"," 5"," 1"," 4"," 2"," 3"," 7"," 6"," 9"
"15"," 8","10"," 4"," 1"," 2"," 6"," 5"," 7"," 3"," 9"
"16"," 8","10"," 6"," 2"," 3"," 1"," 5"," 7"," 4"," 9"
"17"," 8","10"," 5"," 1"," 4"," 3"," 2"," 7"," 6"," 9"
"18"," 8","10"," 5"," 1"," 4"," 2"," 3"," 7"," 5"," 9"
"19"," 8","10"," 6"," 1"," 5"," 3"," 2"," 7"," 3"," 9"
"20"," 8","10"," 6"," 1"," 4"," 2"," 3"," 7"," 5"," 9"
"21"," 8","10"," 5"," 1"," 4"," 3"," 2"," 6"," 7"," 9"
"22"," 8","10"," 5"," 1"," 4"," 2"," 3"," 7"," 6"," 9"
"23"," 8","10"," 6"," 1"," 5"," 3"," 2"," 7"," 3"," 9"
"24"," 8","10"," 6"," 1"," 4"," 2"," 3"," 7"," 5"," 9"
"25"," 8","10"," 4"," 1"," 3"," 4"," 2"," 7"," 6"," 9"
"26"," 8","10"," 5"," 1"," 4"," 2"," 3"," 7"," 5"," 9"
"27"," 8","10"," 4"," 1"," 2"," 6"," 5"," 7"," 3"," 9"
"28"," 8","10"," 6"," 1"," 3"," 2"," 5"," 7"," 4"," 9"
"29"," 8","10"," 4"," 1"," 3"," 4"," 2"," 6"," 7"," 9"
"30"," 8","10"," 5"," 1"," 4"," 2"," 3"," 7"," 6"," 9"
"31"," 8","10"," 4"," 1"," 2"," 6"," 5"," 7"," 3"," 9"
"32"," 8","10"," 6"," 2"," 3"," 1"," 5"," 7"," 4"," 9"
"33"," 6","10"," 5"," 2"," 4"," 1"," 3"," 8"," 7"," 9"
"34"," 7","10"," 5"," 2"," 4"," 1"," 3"," 8"," 6"," 9"
"35"," 7","10"," 5"," 2"," 3"," 1"," 4"," 8"," 5"," 9"
"36"," 7","10"," 6"," 2"," 4"," 1"," 3"," 8"," 5"," 9"
"37"," 7","10"," 5"," 4"," 3"," 1"," 2"," 6"," 8"," 9"
"38"," 8","10"," 5"," 3"," 4"," 1"," 2"," 7"," 6"," 9"
"39"," 8","10"," 5"," 2"," 3"," 1"," 4"," 7"," 5"," 9"
"40"," 8","10"," 6"," 2"," 3"," 1"," 4"," 7"," 5"," 9"
"41"," 6","10"," 5"," 2"," 4"," 1"," 3"," 8"," 7"," 9"
"42"," 7","10"," 5"," 2"," 4"," 1"," 3"," 8"," 6"," 9"
"43"," 7","10"," 4"," 2"," 3"," 1"," 6"," 8"," 4"," 9"
"44"," 7","10"," 6"," 2"," 3"," 1"," 5"," 8"," 4"," 9"
"45"," 7","10"," 5"," 4"," 3"," 1"," 2"," 6"," 8"," 9"
"46"," 8","10"," 5"," 4"," 3"," 1"," 2"," 7"," 6"," 9"
"47"," 8","10"," 4"," 3"," 2"," 1"," 6"," 7"," 4"," 9"
"48"," 8","10"," 6"," 3"," 2"," 1"," 5"," 7"," 4"," 9"
"49"," 8","10"," 5"," 2"," 4"," 1"," 3"," 7"," 6"," 9"
"50"," 8","10"," 5"," 2"," 4"," 1"," 3"," 7"," 5"," 9"
"51"," 8","10"," 5"," 2"," 3"," 1"," 4"," 7"," 5"," 9"
"52"," 8","10"," 6"," 2"," 4"," 1"," 3"," 7"," 5"," 9"
"53"," 8","10"," 5"," 4"," 3"," 1"," 2"," 6"," 7"," 9"
"54"," 8","10"," 5"," 3"," 4"," 1"," 2"," 7"," 6"," 9"
"55"," 8","10"," 5"," 2"," 3"," 1"," 4"," 7"," 5"," 9"
"56"," 8","10"," 6"," 2"," 3"," 1"," 4"," 7"," 5"," 9"
"57"," 8","10"," 5"," 2"," 4"," 1"," 3"," 7"," 6"," 9"
"58"," 8","10"," 5"," 2"," 4"," 1"," 3"," 7"," 5"," 9"
"59"," 8","10"," 4"," 2"," 3"," 1"," 6"," 7"," 4"," 9"
"60"," 8","10"," 6"," 2"," 3"," 1"," 5"," 7"," 4"," 9"
"61"," 8","10"," 5"," 4"," 3"," 1"," 2"," 6"," 7"," 9"
"62"," 8","10"," 5"," 4"," 3"," 1"," 2"," 7"," 6"," 9"
"63"," 8","10"," 4"," 3"," 2"," 1"," 6"," 7"," 4"," 9"
"64"," 8","10"," 6"," 3"," 2"," 1"," 5"," 7"," 4"," 9"
"65"," 7","10"," 6"," 1"," 5"," 3"," 2"," 8"," 3"," 9"
"66"," 6","10"," 7"," 1"," 4"," 2"," 3"," 8"," 5"," 9"
"67"," 7","10"," 6"," 1"," 5"," 3"," 4"," 8"," 2"," 9"
"68"," 6","10"," 7"," 1"," 5"," 3"," 4"," 8"," 2"," 9"
"69"," 8","10"," 6"," 1"," 5"," 3"," 2"," 7"," 3"," 9"
"70"," 7","10"," 8"," 1"," 4"," 2"," 3"," 6"," 5"," 9"
"71"," 8","10"," 6"," 1"," 5"," 3"," 4"," 7"," 2"," 9"
"72"," 7","10"," 8"," 2"," 5"," 3"," 4"," 6"," 1"," 9"
"73"," 7","10"," 6"," 1"," 3"," 5"," 2"," 8"," 4"," 9"
"74"," 6","10"," 7"," 1"," 4"," 2"," 3"," 8"," 5"," 9"
"75"," 7","10"," 6"," 1"," 2"," 4"," 5"," 8"," 3"," 9"
"76"," 6","10"," 7"," 1"," 4"," 2"," 5"," 8"," 2"," 9"
"77"," 8","10"," 6"," 1"," 3"," 5"," 2"," 7"," 4"," 9"
"78"," 7","10"," 8"," 1"," 4"," 2"," 3"," 6"," 5"," 9"
"79"," 8","10"," 6"," 2"," 1"," 4"," 5"," 7"," 3"," 9"
"80"," 7","10"," 8"," 1"," 4"," 2"," 5"," 6"," 2"," 9"
"81"," 8","10"," 6"," 1"," 5"," 3"," 2"," 7"," 3"," 9"
"82"," 9","10"," 6"," 1"," 4"," 2"," 3"," 7"," 5"," 8"
